field_name,display_name,data_type,source_object,grain_level,source_table,is_computed,update_frequency,definition,engineering_validation
account_id,Account ID,bigint,Account,account,customer,no,real-time,Unique identifier for the account,
crm_id,CRM ID,string,Account,account,customer,no,sync,External CRM identifier,
app_id,App ID,string,Account,account,customer,no,sync,External application identifier,
account_name,Name,string,Account,account,customer,no,sync,Account company name,
domain,Domain,string,Account,account,customer,no,sync,Primary email domain,
parent_account_id,Parent Account,bigint,Account,account,customer,no,sync,Parent account ID for hierarchies,
tier_id,Tier,bigint,Account,account,customer,no,sync,Account tier FK,
tier_name,Tier Name,string,Account,account,tier,no,sync,Account tier name (Low/Mid/High),
owner_id,Owner,bigint,Account,account,customer,no,sync,Account owner user FK,
journey_id,Journey,bigint,Account,account,customer,no,sync,Journey phase FK,
journey_phase_name,Journey Phase Name,string,Account,account,customer_journey,no,sync,Journey phase (Acquisition/Onboarding/Adoption/Renewal),
status,Status,string,Account,account,customer,no,sync,Account status (active/churned),
status_detail,Status Detail,string,Account,account,customer,no,sync,Detailed status information,
revenue,Revenue,number,Account,account,customer,no,sync,Account revenue/ARR,
renewal_date,Renewal Date,date,Account,account,customer,no,sync,Contract renewal date,
contract_start_date,Contract Start Date,date,Account,account,customer,no,sync,Contract start date,
insight_title_changed,Insight: Stakeholder Title Changed,boolean,Account,account,insight,yes,daily,Stakeholder title has been changed,
insight_no_reach_out_stakeholder,Insight: No Reach-out to Stakeholder,boolean,Account,account,insight,yes,daily,No reach-out to stakeholder detected,
insight_stakeholder_roles_undefined,Insight: Stakeholder Roles Undefined,boolean,Account,account,insight,yes,daily,Stakeholder roles are not defined,
insight_account_responds_slower,Insight: Account Responds Slower,boolean,Account,account,insight,yes,daily,Account responds slower than usual,
insight_stakeholder_not_engaged,Insight: Stakeholder Not Engaged,boolean,Account,account,insight,yes,daily,Stakeholder not engaged,
insight_positive_sentiment_trend,Insight: Positive Sentiment Trend,boolean,Account,account,insight,yes,daily,Positive sentiment trend detected,
insight_negative_sentiment_trend,Insight: Negative Sentiment Trend,boolean,Account,account,insight,yes,daily,Negative sentiment trend detected,
insight_account_personnel_changes,Insight: Account Personnel Changes,boolean,Account,account,insight,yes,daily,Account personnel changes detected,
insight_no_renewal_discussion,Insight: No Renewal Discussion,boolean,Account,account,insight,yes,daily,No renewal discussion detected,
insight_no_qbr,Insight: No QBR,boolean,Account,account,insight,yes,daily,No QBR scheduled or held,
insight_account_dark,Insight: Account Dark,boolean,Account,account,insight,yes,daily,Account has gone dark,
insight_no_reach_out,Insight: No Reach-out,boolean,Account,account,insight,yes,daily,No reach-out to account,
insight_churn_notification,Insight: Churn Notification,boolean,Account,account,insight,yes,daily,Churn notification detected,
insight_no_next_meeting,Insight: No Next Meeting,boolean,Account,account,insight,yes,daily,No next meeting scheduled,
insight_no_exec_communication,Insight: No Executive Communication,boolean,Account,account,insight,yes,daily,No communication between executives,
insight_no_meetings,Insight: No Meetings,boolean,Account,account,insight,yes,daily,No meetings with account,
insight_single_threaded,Insight: Single Threaded,boolean,Account,account,insight,yes,daily,Single threaded account,
insight_churn_risk,Insight: Churn Risk,boolean,Account,account,insight,yes,daily,Churn risk detected,
lifecycle_event_account_personnel_changes,Last Event: Account Personnel Changes,datetime,Account,account,computed,yes,daily,Last date account personnel changes detected,
lifecycle_event_org_personnel_changes,Last Event: Org Personnel Changes,datetime,Account,account,computed,yes,daily,Last date organization personnel changes detected,
lifecycle_event_commercial_discussion,Last Event: Commercial Discussion,datetime,Account,account,computed,yes,daily,Last date commercial discussion detected,
lifecycle_event_renewal,Last Event: Renewal,datetime,Account,account,computed,yes,daily,Last date renewal discussion detected,
